Par,Pearson,MI,VolCorr,DTW,Granger_p
AMZN-META,0.606,0.252,0.795,39.8,0.0017
GOOGL-AMZN,0.553,0.235,0.525,37.0,0.085
MSFT-META,0.491,0.223,0.665,43.7,0.0792
MSFT-AMZN,0.524,0.214,0.526,56.5,0.0346
AMZN-NVDA,0.465,0.169,0.474,32.2,0.2334
GOOGL-META,0.431,0.166,0.479,57.9,0.0739
MSFT-NVDA,0.49,0.166,0.421,67.6,0.2717
GOOGL-TSLA,0.462,0.153,0.319,40.1,0.6119
MSFT-GOOGL,0.361,0.139,0.421,98.4,0.1994
NVDA-META,0.471,0.139,0.345,52.3,0.0546
AMZN-TSLA,0.464,0.129,0.475,30.3,0.0577
META-TSLA,0.417,0.102,0.357,37.3,0.1134
AAPL-AMZN,0.467,0.088,0.713,28.0,0.0048
MSFT-TSLA,0.377,0.086,0.155,75.7,0.0278
NVDA-TSLA,0.463,0.084,0.5,39.8,0.0031
AAPL-META,0.41,0.08,0.667,52.6,0.0198
AAPL-MSFT,0.379,0.08,0.593,64.1,0.0035
AAPL-TSLA,0.433,0.066,0.492,37.7,0.1609
GOOGL-NVDA,0.403,0.065,0.429,20.8,0.1588
AAPL-GOOGL,0.423,0.048,0.507,39.4,0.0156
AAPL-NVDA,0.363,0.0,0.57,25.2,0.0857
